id,name,prio,zone,boss,note
30870,Cuffs of Devastation,Arcane Mage > Balance Druid > Elemental Shaman,Mount Hyjal,Rage Winterchill,
30863,Deadly Cuffs,DPS Warrior > Enhancement Shaman,Mount Hyjal,Rage Winterchill,
30868,Rejuvenating Bracers,Resto Druid,Mount Hyjal,Rage Winterchill,
30862,Blessed Adamantite Bracers,Holy Paladin,Mount Hyjal,Rage Winterchill,
30872,Chronicle of Dark Secrets,Arcane Mage = Destruction Warlock > Balance Druid = Elemental Shaman > Shadow Priest,Mount Hyjal,Rage Winterchill,
30888,Anetheron's Noose,Arcane Mage > Balance Druid = Destruction Warlock,Mount Hyjal,Anetheron,"Locks can use Blasting until near bis when they want to drop hit, Balance likely won't use until Skull"
30879,Don Alejandro's Money Belt,Survival Hunter > BM Hunter > Feral Druid,Mount Hyjal,Anetheron,
30881,Blade of Infamy,Survival Hunter > BM Hunter > Rogue > DPS Warrior,Mount Hyjal,Anetheron,"Can prio very unlucky sword melee users that might not have Talon, (Could alternate between Surv first > BM > Surv second)"
30883,Pillar of Ferocity,Feral Druid (Bear) > Feral Druid (Cat),Mount Hyjal,Anetheron,
30882,Bastion of Light,Resto Shaman > Holy Paladin,Mount Hyjal,Anetheron,
30895,Angelista's Sash,Holy Priest > Resto Druid,Mount Hyjal,Kaz'Rogal,
30916,Leggings of Channeled Elements,Shadow Priest > Elemental Shaman > Balance Druid > Destruction Warlock,Mount Hyjal,Kaz'Rogal,Consider locks without Vashj Chest
30914,Belt of the Crescent Moon,Balance Druid > Elemental Shaman,Mount Hyjal,Kaz'Rogal,
30893,Sun-touched Chain Leggings,Resto Shaman = Holy Paladin,Mount Hyjal,Kaz'Rogal,
30918,Hammer of Atonement,Holy Paladin > Resto Shaman > Holy Priest > Resto Druid,Mount Hyjal,Kaz'Rogal,
30889,Kaz'rogal's Hardened Heart,Prot Warrior,Mount Hyjal,Kaz'Rogal,
30900,Bow-stitched Leggings,Survival Hunter > Ret Paladin = Enhancement Shaman > BM Hunter,Mount Hyjal,Azgalor,
30897,Girdle of Hope,Holy Paladin,Mount Hyjal,Azgalor,
30901,Boundless Agony,BM Hunter,Mount Hyjal,Azgalor,
31092,Gloves of the Forgotten Conqueror,Prot Paladin > Destruction Warlock > Shadow Priest > Holy Priest,Mount Hyjal,Azgalor,
31094,Gloves of the Forgotten Protector,BM Hunter > Survival Hunter > Elemental Shaman > 2H Arms Warrior 4 Piece > Resto Shaman > Fury Warrior 4 Piece > Kebab 4 Piece,Mount Hyjal,Azgalor,
31093,Gloves of the Forgotten Vanquisher,Feral Druid (Bear) > Rogue > Feral Druid (Cat) > Balance Druid,Mount Hyjal,Azgalor,
30912,Leggings of Eternity,Holy Priest > Resto Druid,Mount Hyjal,Archimonde,
30905,Midnight Chestguard,Ret Paladin > Enhancement Shaman > Rogue > DPS Warrior,Mount Hyjal,Archimonde,
30911,Scepter of Purification,Holy Priest = Resto Druid,Mount Hyjal,Archimonde,
30910,Tempest of Chaos,Prot Paladin > Arcane Mage >= Destruction Warlock,Mount Hyjal,Archimonde,If balanced skew Mage = Warlocks
30902,Cataclysm's Edge,2H Arms Warrior > Ret Paladin,Mount Hyjal,Archimonde,
30908,Apostle of Argus,Resto Druid > Holy Priest > Resto Shaman,Mount Hyjal,Archimonde,
30909,Antonidas's Aegis of Rapt Concentration,Elemental Shaman > Prot Paladin,Mount Hyjal,Archimonde,
30906,Bristleblitz Striker,BM Hunter > Survival Hunter,Mount Hyjal,Archimonde,
31097,Helm of the Forgotten Conqueror,Prot Paladin > Destruction Warlock > Shadow Priest > Holy Paladin > Holy Priest,Mount Hyjal,Archimonde,
31095,Helm of the Forgotten Protector,Survival Hunter > 2H Arms Warrior 4 Piece > Elemental Shaman > Resto Shaman > BM Hunter 4 piece = Fury Warrior 4 Piece > Kebab 4 Piece,Mount Hyjal,Archimonde,
31096,Helm of the Forgotten Vanquisher,Feral Druid (Bear) > Rogue > Feral Druid (Cat) > Balance Druid > Resto Druid,Mount Hyjal,Archimonde,
32590,Nethervoid Cloak,Shadow Priest > Destruction Warlock,Mount Hyjal,Trash,
34010,Pepe's Shroud of Pacification,Prot Warrior >= Prot Paladin,Mount Hyjal,Trash,
32609,Boots of the Divine Light,Holy Priest >= Resto Druid > Resto Shaman,Mount Hyjal,Trash,Tied with Priests if Druid doesn't have Orca Hide
32591,Choker of Serrated Blades,BM Hunter > DPS Warrior > Enhancement Shaman > Feral Druid (Cat)/Warden = Rogue,Mount Hyjal,Trash,
34009,Hammer of Judgement,Prot Paladin > Shadow Priest > Balance Druid > Elemental Shaman,Mount Hyjal,Trash,
32239,Slippers of the Seacaller,Arcane Mage > Destruction Warlock > Shadow Priest > Elemental Shaman = Balance Druid,Black Temple,High Warlord Naj'entus,
32234,Fists of Mukoa,Enhancement Shaman > MS>OS,Black Temple,High Warlord Naj'entus,
32243,Pearl Inlaid Boots,Holy Paladin,Black Temple,High Warlord Naj'entus,
32245,Tide-stomper's Greaves,Prot Paladin,Black Temple,High Warlord Naj'entus,
32238,Ring of Calming Waves,Holy Paladin > MS>OS,Black Temple,High Warlord Naj'entus,
32237,The Maelstrom's Fury,Elemental Shaman = Shadow Priest > Balance Druid,Black Temple,High Warlord Naj'entus,
32236,Rising Tide,DPS Warrior > Enhancement Shaman,Black Temple,High Warlord Naj'entus,
32248,Halberd of Desolation,Hunter,Black Temple,High Warlord Naj'entus,
32256,Waistwrap of Infinity,Shadow Priest > Destruction Warlock > Arcane Mage = Balance Druid > Elemental Shaman,Black Temple,Supremus,
32258,Naturalist's Preserving Cinch,Resto Shaman > Holy Paladin,Black Temple,Supremus,
32260,Choker of Endless Nightmares,DPS Warrior > Enhancement Shaman = Rogue > BM Hunter = Ret Paladin = Feral Druid (Cat)/Warden,Black Temple,Supremus,Rogues/Enh generally will be using JC necks when avail. If BM/Ret are not getting CVoS or low prio then think about giving them one of these for hit cap.
32261,Band of the Abyssal Lord,Prot Warrior = Prot Paladin,Black Temple,Supremus,"Feral only belongs on the list for Choker of Endless Nightmares in raids that do not run Improved Faerie Fire, as it is BiS in that scenario."
32254,The Brutalizer,Prot Warrior,Black Temple,Supremus,
32262,Syphon of the Nathrezim,Enhancement Shaman > DPS Warrior > Rogue,Black Temple,Supremus,
32255,Felstone Bulwark,Holy Paladin > Resto Shaman,Black Temple,Supremus,
32253,Legionkiller,Hunter > Prot Warrior,Black Temple,Supremus,
32513,Wristbands of Divine Influence,Holy Priest > Resto Druid,Black Temple,Shade of Akama,
32271,Kilt of Immortal Nature,Resto Druid > Resto Shaman = Holy Paladin,Black Temple,Shade of Akama,
32275,Spiritwalker Gauntlets,Resto Shaman > Holy Paladin,Black Temple,Shade of Akama,
32276,Flashfire Girdle,Elemental Shaman,Black Temple,Shade of Akama,
32279,The Seeker's Wristguards,Prot Paladin,Black Temple,Shade of Akama,
32278,Grips of Silent Justice,Fury Warrior > Arms Warrior,Black Temple,Shade of Akama,
32263,Praetorian's Legguards,Prot Warrior,Black Temple,Shade of Akama,
32268,Myrmidon's Treads,Prot Warrior,Black Temple,Shade of Akama,
32266,Ring of Deceitful Intent,Feral Druid (Bear) > BM Hunter > Rogue > Enhancement Shaman = Survival Hunter,Black Temple,Shade of Akama,
32337,Shroud of Forgiveness,Non Sunshower > Resto Druid,Black Temple,Gurtogg Bloodboil,
32339,Belt of Primal Majesty,Resto Druid > Resto Shaman > Holy Paladin,Black Temple,Gurtogg Bloodboil,
32342,Girdle of Mighty Resolve,Prot Paladin,Black Temple,Gurtogg Bloodboil,
32333,Girdle of Stability,Prot Warrior,Black Temple,Gurtogg Bloodboil,
32341,Leggings of Divine Retribution,DPS Warrior > Ret Paladin,Black Temple,Gurtogg Bloodboil,
32335,Unstoppable Aggressor's Ring,DPS Warrior > Ret Paladin = Enhancement Shaman,Black Temple,Gurtogg Bloodboil,
32501,Shadowmoon Insignia,Feral Druid (Bear) = Prot Warrior = Prot Paladin,Black Temple,Gurtogg Bloodboil,"No class prio needed here, but player prio is important: prio it to a tank that actually plans on equipping it a lot and who is skilled enough to use defensive CDs well."
32343,Wand of Prismatic Focus,Shadow Priest > Destruction Warlock > Arcane Mage,Black Temple,Gurtogg Bloodboil,
32351,Elunite Empowered Bracers,Balance Druid,Black Temple,Reliquary of the Lost,
32347,Grips of Damnation,Enhancement Shaman > MS>OS,Black Temple,Reliquary of the Lost,
32352,Naturewarden's Treads,Balance Druid = Elemental Shaman,Black Temple,Reliquary of the Lost,
32346,Boneweave Girdle,Hunter > Enhancement Shaman > Ret Paladin > DPS Warrior,Black Temple,Reliquary of the Lost,
32345,Dreadboots of the Legion,DPS Warrior > Ret Paladin,Black Temple,Reliquary of the Lost,
32349,Translucent Spellthread Necklace,Destruction Warlock > Shadow Priest,Black Temple,Reliquary of the Lost,
32362,Pendant of Titans,Prot Warrior > Feral Druid (Bear),Black Temple,Reliquary of the Lost,
32350,Touch of Inspiration,Holy Priest = Resto Druid,Black Temple,Reliquary of the Lost,
32332,Torch of the Damned,Ret Paladin > DPS Warrior,Black Temple,Reliquary of the Lost,
32363,Naaru-Blessed Life Rod,Holy Priest,Black Temple,Reliquary of the Lost,
32323,Shadowmoon Destroyer's Drape,DPS Warrior = Rogue = Enhancement Shaman > BM Hunter = Ret Paladin,Black Temple,Teron Gorefiend,Potential hit uses for BM/Ret when they aren't able to have BIS set up going the CVoS route
32329,Cowl of Benevolence,Holy Priest > Resto Druid,Black Temple,Teron Gorefiend,
32324,Insidious Bands,Survival Hunter = BM Hunter > Rogue > Enhancement Shaman > DPS Warrior,Black Temple,Teron Gorefiend,
32328,Botanist's Gloves of Growth,Resto Druid > Resto Shaman > Holy Paladin,Black Temple,Teron Gorefiend,
32510,Softstep Boots of Tracking,Enhancement Shaman > BM Hunter > Ret Paladin > DPS Warrior,Black Temple,Teron Gorefiend,
32280,Gauntlets of Enforcement,Prot Warrior,Black Temple,Teron Gorefiend,
32512,Girdle of Lordaeron's Fallen,Holy Paladin,Black Temple,Teron Gorefiend,
32330,Totem of Ancestral Guidance,Elemental Shaman,Black Temple,Teron Gorefiend,
32326,Twisted Blades of Zarak,DPS Warrior > Rogue,Black Temple,Teron Gorefiend,
32325,Rifle of the Stoic Guardian,Prot Warrior,Black Temple,Teron Gorefiend,
32366,Shadowmaster's Boots,Survival Hunter > Ret Paladin > BM Hunter = Enhancement Shaman = Rogue = Feral Druid (Cat)/Warden,Black Temple,Mother Shahraz,
32370,Nadina's Pendant of Purity,Holy Paladin > Resto Shaman > Holy Priest > Resto Druid,Black Temple,Mother Shahraz,
32368,Tome of the Lightbringer,Prot Paladin,Black Temple,Mother Shahraz,
32369,Blade of Savagery,Rogue > Prot Warrior > DPS Warrior,Black Temple,Mother Shahraz,
31101,Pauldrons of the Forgotten Conqueror,Prot Paladin > Destruction Warlock > Shadow Priest > Holy Paladin > Holy Priest > Ret Paladin,Black Temple,Mother Shahraz,
31103,Pauldrons of the Forgotten Protector,Fury Warrior > BM Hunter > Survival Hunter > Arms Warrior > Elemental Shaman > Resto Shaman > Prot Warrior,Black Temple,Mother Shahraz,Prot war takes dps shoulders here
31102,Pauldrons of the Forgotten Vanquisher,Feral Druid (Bear) > Rogue > Feral Druid (Cat) > Balance Druid > Resto Druid > Mage,Black Temple,Mother Shahraz,
32331,Cloak of the Illidari Council,Destruction Warlock > Balance Druid = Elemental Shaman = Arcane Mage > Shadow Priest,Black Temple,The Illidari Council,
32519,Belt of Divine Guidance,Holy Priest = Resto Druid,Black Temple,The Illidari Council,
32376,Forest Prowler's Helm,BM Hunter = Ret Paladin > Enhancement Shaman,Black Temple,The Illidari Council,"Ret/Enh second bis, HIGHLY advise BM's to get S3 helm for gearing options while waiting for CVoS"
32373,Helm of the Illidari Shatterer,Fury Warrior > Arms Warrior > Ret Paladin,Black Temple,The Illidari Council,
32505,Madness of the Betrayer,Fury Warrior > Arms Warrior > Survival Hunter > BM Hunter > Enhancement Shaman > Feral Druid (Cat)/Warden,Black Temple,The Illidari Council,
31098,Leggings of the Forgotten Conqueror,Prot Paladin > Destruction Warlock > Holy Paladin > Shadow Priest > Holy Priest > Ret Paladin,Black Temple,The Illidari Council,
31100,Leggings of the Forgotten Protector,BM Hunter > Prot Warrior > Resto Shaman > Elemental Shaman,Black Temple,The Illidari Council,Prot wars take tanking version pants here
31099,Leggings of the Forgotten Vanquisher,Feral Druid (Bear) > Rogue > Arcane Mage > Feral Druid (Cat) > Resto Druid > Balance Druid,Black Temple,The Illidari Council,
32524,Shroud of the Highborne,(Healer Prio) > Holy Priest >= Resto Shaman > Resto Druid > Holy Paladin > (DPS Prio) > Arcane Mage = Destruction Warlock > Balance Druid = Elemental Shaman,Black Temple,Illidan Stormrage,
32525,Cowl of the Illidari High Lord,Balance Druid > Destruction Warlock = Elemental Shaman = Mage,Black Temple,Illidan Stormrage,
32235,Cursed Vision of Sargeras,Enhancement Shaman = BM Hunter = Ret Paladin > Fury Warrior > Kebab > Rogue > 2H Arms Warrior,Black Temple,Illidan Stormrage,Assuming 2H Arms is going 4 piece T6
32521,Faceplate of the Impenetrable,Prot Warrior > Prot Paladin,Black Temple,Illidan Stormrage,
32497,Stormrage Signet Ring,Rogue > Enhancement Shaman > BM Hunter = Fury Warrior = Arms Warrior,Black Temple,Illidan Stormrage,
32483,The Skull of Gul'dan,Destruction Warlock > Arcane Mage = Balance Druid > Elemental Shaman > Shadow Priest,Black Temple,Illidan Stormrage,
32496,Memento of Tyrande,Resto Shaman > Holy Paladin = Holy Priest = Resto Druid,Black Temple,Illidan Stormrage,"Good idea to prioritize this trinket to healers missing [Direbrew Hops], Int build Paladins won't use at all, only Flash builds"
32500,Crystal Spire of Karabor,Holy Priest > Resto Shaman > Holy Paladin > Resto Druid,Black Temple,Illidan Stormrage,
32374,"Zhar'doom, Greatstaff of the Devourer",Balance Druid = Elemental Shaman = Shadow Priest = Destruction Warlock >= Arcane Mage,Black Temple,Illidan Stormrage,Player over class prio
32375,Bulwark of Azzinoth,Prot Paladin > Prot Warrior,Black Temple,Illidan Stormrage,
32336,Black Bow of the Betrayer,Survival Hunter > BM Hunter,Black Temple,Illidan Stormrage,
31089,Chestguard of the Forgotten Conqueror,Prot Paladin > Shadow Priest > Holy Paladin > Holy Priest > Destruction Warlock,Black Temple,Illidan Stormrage,Consider prio'ing Warlocks that don't have Vestments after Prot Pal. Holy Pal could have a stronger case to chest over priest due to priest swapping between t5/t6
31091,Chestguard of the Forgotten Protector,Fury Warrior > BM Hunter > Survival Hunter > Arms Warrior > Elemental Shaman > Resto Shaman > Prot Warrior,Black Temple,Illidan Stormrage,Prot war takes dps chest here
31090,Chestguard of the Forgotten Vanquisher,Feral Druid (Bear) > Rogue > Feral Druid (Cat) > Balance Druid > Resto Druid > Mage,Black Temple,Illidan Stormrage,Glaives depend on your guild entirely and the context of your comp/raid goals
32837,Warglaive of Azzinoth,DPS Warrior = Rogue,Black Temple,Illidan Stormrage,
32838,Warglaive of Azzinoth,DPS Warrior = Rogue,Black Temple,Illidan Stormrage,
32590,Nethervoid Cloak,Shadow Priest > Destruction Warlock,Black Temple,Trash,
34012,Shroud of the Final Stand,Holy Paladin = Resto Shaman,Black Temple,Trash,
32609,Boots of the Divine Light,Holy Priest > Resto Druid > Resto Shaman,Black Temple,Trash,
32593,Treads of the Den Mother,Feral Druid (Bear),Black Temple,Trash,
32591,Choker of Serrated Blades,BM Hunter > DPS Warrior > Enhancement Shaman > Feral Druid (Cat)/Warden = Rogue,Black Temple,Trash,
32526,Band of Devastation,Ret Paladin > DPS Warrior = Enhancement Shaman,Black Temple,Trash,
32528,Blessed Band of Karabor,Non LW Resto Druid > Resto Shaman = Holy Priest > Resto Druid > Holy Paladin,Black Temple,Trash,
32527,Ring of Ancient Knowledge,Destruction Warlock (1) = Arcane Mage (1) > Shadow Priest (1) > Destruction Warlock (2) = Shadow Priest (2) = Balance Druid = Elemental Shaman,Black Temple,Trash,Consider prioing the warlock that is lowest prio on ZD/TOC/Skull before others
34011,Illidari Runeshield,Prot Paladin > Elemental Shaman,Black Temple,Trash,
32748,Bindings of Lightning Reflexes,Ret Paladin > Enhancement Shaman > Hunter > DPS Warrior,Mount Hyjal/Black Temple,Patterns,
32744,Bracers of Renewed Life,Resto Druid,Mount Hyjal/Black Temple,Patterns,
32750,Living Earth Bindings,Resto Shaman,Mount Hyjal/Black Temple,Patterns,
32745,Shoulderpads of Renewed Life,Resto Druid,Mount Hyjal/Black Temple,Patterns,
32747,Swiftstrike Shoulders,Enhancement Shaman > Ret Paladin > Hunter > DPS Warrior,Mount Hyjal/Black Temple,Patterns,
32754,Bracers of Nimble Thought,Shadow Priest > Destruction Warlock = Elemental Shaman = Balance Druid > Arcane Mage,Mount Hyjal/Black Temple,Patterns,
32755,Mantle of Nimble Thought,Shadow Priest > Destruction Warlock > MS>OS,Black Temple,Patterns,BIS Shadow until T6 shoulders
32753,Swiftheal Mantle,Resto Druid > Holy Priest,Mount Hyjal/Black Temple,Patterns,If Tailoring
32752,Swiftheal Wraps,Resto Druid > Holy Priest,Mount Hyjal/Black Temple,Patterns,
